,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
32200,1182959878956973304,https://www.airbnb.com/rooms/1182959878956973304,20250617032754,2025-06-17,city scrape,"Home For Medical Professionals - Suite “Radium""","STAT Living LLC is the #1 Trusted Company providing quality housing in the NYC area to medical professionals.  Our housing accommodations are exclusively for Medical and PA Students, Interns, Residents, Nursing Professionals,  Veterinary Professionals, and any other profession connected to the field of medicine or science.  Our Kingsbrook Suites are all Master Suites with Private Bathrooms and Queen sized beds. Kitchen / livingroom areas are shared and cleanliness maintained weekly by our team.",,https://a0.muscache.com/pictures/miso/Hosting-1182959878956973304/original/aca01498-bd21-4ac3-a5cc-3f6bb7f7e15d.jpeg,26377263,https://www.airbnb.com/users/show/26377263,Timothy Artemas,2015-01-19,"New York, NY","STAT Living was founded to provide housing to medical professionals who need a place to stay - STAT! 

Providing cozy, chic, and comfortable accommodations for those high stressed, fast paced, yet fun and fulfilling times on the wards. 

Welcome to the STAT Living Experience!",within a few hours,96%,50%,t,https://a0.muscache.com/im/users/26377263/profile_pic/1421711461/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/26377263/profile_pic/1421711461/original.jpg?aki_policy=profile_x_medium,Bushwick,64.0,66.0,"['email', 'phone']",t,t,,East Flatbush,Brooklyn,40.6596748,-73.93442519999999,Private room in rental unit,Private room,2,1.0,1 private bath,1.0,1.0,"[""Dedicated workspace"", ""Exterior security cameras on property"", ""Cooking basics"", ""Stove"", ""Blender"", ""Dishes and silverware"", ""TV"", ""Smart lock"", ""Hot water"", ""Dining table"", ""Washer"", ""Lock on bedroom door"", ""Kitchen"", ""Hangers"", ""Refrigerator"", ""Oven"", ""Toaster"", ""Paid parking on premises"", ""Fire extinguisher"", ""Microwave"", ""Bed linens"", ""Cleaning available during stay"", ""Smoke alarm"", ""Free parking on premises"", ""Self check-in"", ""Wifi"", ""Iron"", ""Carbon monoxide alarm"", ""Freezer"", ""Air conditioning"", ""Dishwasher"", ""Coffee maker"", ""Safe"", ""Cleaning products"", ""Long term stays allowed"", ""Paid dryer \u2013 In unit"", ""Free street parking"", ""Central heating""]",$59.00,30,730,30,30,730,730,30.0,730.0,,t,0,0,16,291,2025-06-17,0,0,0,124,0,0,0.0,,,,,,,,,,,f,42,0,42,0,
32400,1195554348855678026,https://www.airbnb.com/rooms/1195554348855678026,20250617032754,2025-06-17,city scrape,plant filled apt in the LES,"my 2 bedroom apt in the heart of dimes square is filled w plants + art + love. it features a bedroom w the bed facing out to the view, and a 2nd front bedroom that can sleep 2 comfortably, or serve as a TV room. the elevator opens into the space.",,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTE5NTU1NDM0ODg1NTY3ODAyNg==/original/0d73d85d-5dee-4a8a-8492-7c62385184d9.png,6177242,https://www.airbnb.com/users/show/6177242,Allie,2013-05-01,"New York, NY","My name is Allie, and I work in social issue film; I build social action campaigns for great films. My roommates Matt and Taylor run tech and non-profit orgs respectively. We believe in the power of community first and foremost. ",,,,f,https://a0.muscache.com/im/users/6177242/profile_pic/1386797015/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/6177242/profile_pic/1386797015/original.jpg?aki_policy=profile_x_medium,,1.0,6.0,"['email', 'phone']",t,t,,Chinatown,Manhattan,40.71360553113416,-73.99043268004111,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,"[""Washer"", ""Kitchen"", ""Smoke alarm"", ""TV"", ""Wifi"", ""Carbon monoxide alarm"", ""Air conditioning""]",$285.00,30,365,30,30,365,365,30.0,365.0,,t,16,46,63,63,2025-06-17,0,0,0,63,0,0,0.0,,,,,,,,,,,f,1,1,0,0,
32600,1207853186170107041,https://www.airbnb.com/rooms/1207853186170107041,20250617032754,2025-06-17,city scrape,Beautiful 1 Bedroom Apartment with Balcony,"Get comfortable and enjoy plenty of extra room at this spacious place. Extra large and bright 1 bedroom apartment with a balcony, furnished with everything you need, you’ll feel at home. <br />Big city park 1 block away . D train station and X28 express bus is also within  2 blocks distance, which can take you directly to Manhattan, battery Park, World Trade Center, New York Stock exchange & Pier 17  20 minutes. <br />Coney Island beach  15 minutes away. You will have the whole apartment to yourself!",Bath Beach section of Brooklyn <br />Beautiful tree lined streets. Nice quiet community park one block away.,https://a0.muscache.com/pictures/hosting/Hosting-1207853186170107041/original/5c834d5d-abb9-4f2c-868c-ef027331036a.jpeg,512046879,https://www.airbnb.com/users/show/512046879,Laura,2023-04-27,"Rawai, Thailand",,within a few hours,100%,50%,f,https://a0.muscache.com/im/pictures/user/149413da-29fd-429b-a88b-9d7b2279aad9.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/149413da-29fd-429b-a88b-9d7b2279aad9.jpg?aki_policy=profile_x_medium,Bath Beach,1.0,2.0,['phone'],t,t,Neighborhood highlights,Bath Beach,Brooklyn,40.603156220500416,-74.0084579171047,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,"[""Essentials"", ""Cooking basics"", ""Blender"", ""Dishes and silverware"", ""TV"", ""Hot water"", ""Portable fans"", ""Kitchen"", ""Bathtub"", ""Hangers"", ""Refrigerator"", ""Hot water kettle"", ""Toaster"", ""Clothing storage: closet and dresser"", ""Private patio or balcony"", ""Mosquito net"", ""Private BBQ grill: electric"", ""Wine glasses"", ""Microwave"", ""Bed linens"", ""Smoke alarm"", ""Wifi"", ""Iron"", ""Gas stove"", ""Carbon monoxide alarm"", ""Freezer"", ""Heating"", ""Coffee maker: Nespresso"", ""Paid parking garage off premises"", ""Extra pillows and blankets"", ""Cleaning products"", ""Window AC unit"", ""Free street parking"", ""Laundromat nearby"", ""Host greets you""]",$120.00,30,365,30,30,365,365,30.0,365.0,,t,28,58,88,178,2025-06-17,1,1,0,178,1,60,7200.0,2024-12-31,2024-12-31,5.0,5.0,5.0,5.0,4.0,5.0,5.0,,f,1,1,0,0,0.18
32800,1214597720283848285,https://www.airbnb.com/rooms/1214597720283848285,20250617032754,2025-06-17,city scrape,Cute Quiet Renovated UWS Studio W/ Elevator #226,"Awesome studio with shared bathroom on a prime upper west side block with elevator, laundry, and live in super. <br /><br />This apartment comes fully furnished and includes WiFi , electricity, heat, air conditioning, hot water, and it has a kitchenette, closet, sofa, full size bed, and a eating/studying table. the building is quiet, clean, and safe.<br /><br />It is located 1.5 short blocks from the 1/2/3 subway line that can get you downtown in 15 minutes, and also half a block from Riverside Park",,https://a0.muscache.com/pictures/miso/Hosting-1214597720283848285/original/1d60b88f-76bb-4f64-a3a0-7a50df7c273a.jpeg,35491667,https://www.airbnb.com/users/show/35491667,Nat,2015-06-10,,,within a few hours,95%,90%,f,https://a0.muscache.com/im/pictures/user/bb8e341c-12c9-4d46-a0ab-cb4767848634.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/bb8e341c-12c9-4d46-a0ab-cb4767848634.jpg?aki_policy=profile_x_medium,,162.0,177.0,"['email', 'phone']",t,t,,Upper West Side,Manhattan,40.7937747,-73.9751287,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,1.0,"[""Exterior security cameras on property"", ""Dishes and silverware"", ""Hot water"", ""Hangers"", ""Refrigerator"", ""Paid washer \u2013 In building"", ""Luggage dropoff allowed"", ""Microwave"", ""Bed linens"", ""Conditioner"", ""Smoke alarm"", ""Paid dryer \u2013 In building"", ""Kitchenette"", ""Elevator"", ""Clothing storage: closet"", ""Wifi"", ""Air conditioning"", ""Shower gel"", ""Free street parking"", ""Shampoo"", ""Central heating""]",$64.00,30,183,30,30,175,175,30.0,175.0,,t,0,0,3,95,2025-06-17,2,2,0,18,2,120,7680.0,2024-09-05,2024-11-20,4.5,5.0,4.5,5.0,5.0,5.0,5.0,,f,155,155,0,0,0.21
33000,1244896024095954335,https://www.airbnb.com/rooms/1244896024095954335,20250617032754,2025-06-17,city scrape,Tiny Private Bath Private Studio Times Square #404,Unique opportunity to live in the heart of New York City! Location is everything and this historic property is 1 block away from the most iconic location in all of New York : Times Square!,,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTI0NDg5NjAyNDA5NTk1NDMzNQ%3D%3D/original/3e4ebb76-e45f-49c7-9f4c-74b0abfcf6f8.jpeg,35491667,https://www.airbnb.com/users/show/35491667,Nat,2015-06-10,,,within a few hours,95%,90%,f,https://a0.muscache.com/im/pictures/user/bb8e341c-12c9-4d46-a0ab-cb4767848634.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/bb8e341c-12c9-4d46-a0ab-cb4767848634.jpg?aki_policy=profile_x_medium,,162.0,177.0,"['email', 'phone']",t,t,,Hell's Kitchen,Manhattan,40.7596713,-73.99098889999999,Entire rental unit,Entire home/apt,1,1.0,1 bath,1.0,1.0,"[""Mini fridge"", ""Exterior security cameras on property"", ""Dishes and silverware"", ""Hot water"", ""Hangers"", ""Paid washer \u2013 In building"", ""Luggage dropoff allowed"", ""Microwave"", ""Bed linens"", ""Conditioner"", ""Smoke alarm"", ""Paid dryer \u2013 In building"", ""Kitchenette"", ""Clothing storage"", ""Wifi"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Shower gel"", ""Free street parking"", ""Shampoo"", ""Central heating""]",$64.00,30,175,30,30,175,175,30.0,175.0,,t,0,13,13,192,2025-06-17,2,2,0,25,0,120,7680.0,2025-04-05,2025-05-03,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,155,155,0,0,0.81
33200,1250815585042492751,https://www.airbnb.com/rooms/1250815585042492751,20250617032754,2025-06-17,city scrape,Snug apartment,"A PRIVATE, ENTIRE APARTMENT with no SHARED SPACE. Located  15 mins away from Staten island FERRY.Bus 40 and 46 is 2 mins away. close to restaurants, bars, gas station and convenience store.Treated with luxurious queen size bed, living room and equipped kitchen with appliances, granite countertop. Backyard is fenced.Access to patio thats shared with mainhouse.Private entrance Self check in with lock box. 25 mins to Staten island Mall.5 min to NYC<br /> BUS.Street parking.5min to RUMC ,20 to SIUH.",,https://a0.muscache.com/pictures/hosting/Hosting-1250815585042492751/original/057b7a91-060f-4555-8f1e-8bcc1ea5fda3.jpeg,653206701,https://www.airbnb.com/users/show/653206701,Temitope,2024-09-20,"New York, NY",,within a few hours,100%,100%,f,https://a0.muscache.com/im/pictures/user/User/original/bf409c0b-1096-4a41-914c-90d62f6f9e77.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/bf409c0b-1096-4a41-914c-90d62f6f9e77.jpeg?aki_policy=profile_x_medium,Port Richmond,1.0,1.0,"['email', 'phone']",t,t,,Port Richmond,Staten Island,40.6381205,-74.1382031,Entire home,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Exterior security cameras on property"", ""Cooking basics"", ""Private entrance"", ""Dishes and silverware"", ""TV"", ""Hot water"", ""Portable fans"", ""Lockbox"", ""Kitchen"", ""Bidet"", ""Hangers"", ""Refrigerator"", ""Oven"", ""Hot water kettle"", ""Trash compactor"", ""Wine glasses"", ""Resort access"", ""Fire extinguisher"", ""Microwave"", ""Bed linens"", ""Private backyard \u2013 Fully fenced"", ""First aid kit"", ""Self check-in"", ""Hair dryer"", ""Clothing storage: wardrobe"", ""Iron"", ""Wifi"", ""Gas stove"", ""Drying rack for clothing"", ""Central air conditioning"", ""Freezer"", ""Laundromat nearby"", ""Extra pillows and blankets"", ""Room-darkening shades"", ""Cleaning products"", ""Coffee"", ""Free street parking"", ""Central heating"", ""Private BBQ grill: gas""]",$65.00,30,30,30,30,30,30,30.0,30.0,,t,16,46,76,351,2025-06-17,2,2,0,184,1,120,7800.0,2024-12-18,2025-02-11,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,t,1,1,0,0,0.33
33400,1267449405198185516,https://www.airbnb.com/rooms/1267449405198185516,20250617032754,2025-06-17,city scrape,"Modern style, prime location","Offering a cozy nest to unwind and recharge for a new adventure, Full Pods can sleep two guests but are recommended for solo travelers.",,https://a0.muscache.com/pictures/prohost-api/Hosting-1267449405198185516/original/7f3e0f43-67f5-49e8-b95d-3d6a51cf5436.jpeg,651521635,https://www.airbnb.com/users/show/651521635,Pod Times Square Hotel,2024-09-11,,"You can't put a price on a perfectly located NYC hotel in the heart of Times Square. That's why Pod Hotel Times Square has made it impossibly affordable to stay at the center of the City That Never Sleeps, all while enjoying unique, urban chic accommodations that value efficiency over fuss.",within an hour,100%,72%,f,https://a0.muscache.com/im/pictures/user/User/original/73ae2d65-b2bb-4980-8ebf-7dbe766aec5c.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/73ae2d65-b2bb-4980-8ebf-7dbe766aec5c.jpeg?aki_policy=profile_x_medium,,3.0,4.0,"['email', 'phone']",t,t,,Hell's Kitchen,Manhattan,40.7583945,-73.9930985,Room in hotel,Private room,2,1.0,1 private bath,1.0,1.0,"[""Dedicated workspace"", ""Essentials"", ""TV"", ""Hot water"", ""Luggage dropoff allowed"", ""Bed linens"", ""Conditioner"", ""Smoke alarm"", ""Elevator"", ""Self check-in"", ""Hair dryer"", ""Wifi"", ""Carbon monoxide alarm"", ""Heating"", ""Air conditioning"", ""Shower gel"", ""Room-darkening shades"", ""Building staff"", ""Shampoo""]",$186.00,1,365,1,1,28,731,1.0,536.5,,t,30,60,90,101,2025-06-17,7,7,0,101,1,90,16740.0,2024-12-21,2025-05-04,3.71,4.29,4.43,4.57,4.29,4.71,3.71,Exempt,t,3,0,3,0,1.17
33600,1280779984673933587,https://www.airbnb.com/rooms/1280779984673933587,20250617032754,2025-06-17,city scrape,1200-2F MedRoom 2,"Forget your worries in this spacious and serene space. Close to public transportation, supermarkets, convenience stores and the famous ny Yankees stadium",,https://a0.muscache.com/pictures/hosting/Hosting-1280779984673933587/original/317c7a52-1b0f-41c4-b143-665931e9db96.jpeg,267272502,https://www.airbnb.com/users/show/267272502,Julio,2019-06-09,"New York, NY","Thank  you for visiting our listings. My name is Julio Jorge, cofounder & President of MedRentals LLC. We built this company with you in mind.  MedRentals is 100% dedicated to serve the students & professionals who come to the city. We understand the frustrations when trying to secure a midterm apartment or room accommodation. Through Airbnb, we are able to bypass some of the tedious steps required to rent an apartment or room in New York City",within an hour,100%,89%,f,https://a0.muscache.com/im/pictures/user/User/original/c7798aa9-57ec-42f0-8f46-a1e4280bce47.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/c7798aa9-57ec-42f0-8f46-a1e4280bce47.jpeg?aki_policy=profile_x_medium,Claremont,42.0,45.0,"['email', 'phone']",t,t,,Highbridge,Bronx,40.83566,-73.92432,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Dedicated workspace"", ""Exterior security cameras on property"", ""Cooking basics"", ""Housekeeping - available at extra cost"", ""Stove"", ""Blender"", ""Paid washer"", ""Dishes and silverware"", ""TV"", ""Hot water"", ""Dining table"", ""Lock on bedroom door"", ""Kitchen"", ""Keypad"", ""Bathtub"", ""Hangers"", ""Refrigerator"", ""Oven"", ""Hot water kettle"", ""Toaster"", ""Trash compactor"", ""Wine glasses"", ""Fire extinguisher"", ""Books and reading material"", ""Paid dryer"", ""Microwave"", ""Bed linens"", ""First aid kit"", ""Smoke alarm"", ""Elevator"", ""Clothing storage"", ""Self check-in"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Drying rack for clothing"", ""Carbon monoxide alarm"", ""Freezer"", ""Heating"", ""Air conditioning"", ""Coffee maker"", ""Extra pillows and blankets"", ""Hot tub"", ""Room-darkening shades"", ""Cleaning products"", ""Long term stays allowed"", ""Laundromat nearby""]",$50.00,30,365,30,30,365,365,30.0,365.0,,t,0,0,0,259,2025-06-17,0,0,0,92,0,0,0.0,,,,,,,,,,,f,24,4,20,0,
33800,1292997798399147746,https://www.airbnb.com/rooms/1292997798399147746,20250617032754,2025-06-17,city scrape,Halsey Manor,"Spacious 1-bedroom with luxury ensuite bathroom located on the second floor of our brownstone in the heart of Stuyvesant Heights, Brooklyn, NY.  Bedroom has private entry, natural lighting, a king-sized bed, a flat screen TV, a microwave, and a mini refrigerator.",,https://a0.muscache.com/pictures/hosting/Hosting-1292997798399147746/original/47a5129b-b406-4e57-9573-f4568688beff.jpeg,434571817,https://www.airbnb.com/users/show/434571817,Eric,2021-12-03,,,,,,f,https://a0.muscache.com/im/pictures/user/2d962340-a460-4ef2-95ea-25c3082c8227.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/2d962340-a460-4ef2-95ea-25c3082c8227.jpg?aki_policy=profile_x_medium,Bedford-Stuyvesant,1.0,1.0,"['email', 'phone']",t,t,,Bedford-Stuyvesant,Brooklyn,40.6841259,-73.928123,Private room in home,Private room,2,1.0,1 private bath,1.0,1.0,"[""Mini fridge"", ""Essentials"", ""Private entrance"", ""TV"", ""Hot water"", ""Radiant heating"", ""Lock on bedroom door"", ""Hangers"", ""Clothing storage: closet and dresser"", ""Fire extinguisher"", ""Microwave"", ""Bed linens"", ""Pets allowed"", ""First aid kit"", ""Conditioner"", ""Smoke alarm"", ""Body soap"", ""Self check-in"", ""Wifi"", ""Iron"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Coffee maker: drip coffee maker"", ""Laundromat nearby"", ""Extra pillows and blankets"", ""Room-darkening shades"", ""Coffee"", ""Free street parking"", ""Ceiling fan"", ""Shampoo"", ""Central heating"", ""Lockbox""]",$105.00,30,100,30,30,100,100,30.0,100.0,,t,30,60,90,270,2025-06-17,0,0,0,198,0,0,0.0,,,,,,,,,,,f,1,0,1,0,
34000,1299133904099985447,https://www.airbnb.com/rooms/1299133904099985447,20250617032754,2025-06-17,city scrape,Central Park west the best area,Relax in this peaceful and centrally-located place.,,https://a0.muscache.com/pictures/miso/Hosting-1299133904099985447/original/4d227258-07d1-4ded-aef4-a8e10387849e.jpeg,1285084,https://www.airbnb.com/users/show/1285084,Pier Paolo,2011-10-13,"New York, NY","I export italien wines to New York City 

I would like to meet new people and my big passion is traveling.

have a good trip

Best regards

Paolo",within a few hours,100%,,f,https://a0.muscache.com/im/pictures/user/d9f00fc3-1aca-4653-80d7-a10052abf5a0.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d9f00fc3-1aca-4653-80d7-a10052abf5a0.jpg?aki_policy=profile_x_medium,,2.0,3.0,"['email', 'phone']",t,t,,Hell's Kitchen,Manhattan,40.76165941956203,-73.98845101335186,Entire rental unit,Entire home/apt,2,0.5,Half-bath,1.0,1.0,"[""Dedicated workspace"", ""Smoke alarm"", ""Fire pit"", ""BBQ grill"", ""Self check-in"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Carbon monoxide alarm"", ""Lockbox"", ""Air conditioning""]",$280.00,30,365,30,30,365,365,30.0,365.0,,t,30,60,90,365,2025-06-17,0,0,0,198,0,0,0.0,,,,,,,,,,,f,2,1,1,0,
34200,1319022934984304366,https://www.airbnb.com/rooms/1319022934984304366,20250617032754,2025-06-17,previous scrape,Close to Williamsburg + Free Breakfast. Gym. Wi-Fi,"Wake up in Brooklyn and walk to Williamsburg’s coffee shops, thrift stores, and late-night eats. Pointe Plaza puts you close to the buzz but in a spot where you can actually sleep. Free breakfast fuels your day, and big rooms (with free Wi-Fi!) give you space to unpack and chill. Hop on the subway to Manhattan or stay local and explore rooftops, murals, and hidden gems. Bonus: there's on-site parking—a true NYC unicorn.",✅ What’s Nearby <br />• Bedford Avenue (Williamsburg) – Approx. 0.6 miles (~12-min walk) <br />• Domino Park – Approx. 1.5 miles (~6-min drive) <br />• Bushwick Street Art District – Approx. 1.8 miles (~7-min drive) <br />• Williamsburg Bridge – Approx. 1.3 miles (~5-min drive) <br />• East River Ferry Terminal – Approx. 1.7 miles (~7-min drive) <br />• Brooklyn Navy Yard – Approx. 0.8 miles (~5-min drive) <br />• Lower Manhattan (via subway) – Approx. 20 min ride <br />• Barclays Center – Approx. 2.5 miles (~12-min drive) <br />• Prospect Park – Approx. 2.6 miles (~12-min drive) <br /> <br />✅ Where to Eat & Sip Nearby <br />• Gottlieb’s Restaurant – Approx. 0.1 miles (~2-min walk) <br />• Butler (Williamsburg) – Approx. 0.6 miles (~12-min walk) <br />• Devoción – Approx. 0.7 miles (~14-min walk) <br />• Peter Luger Steak House – Approx. 1.2 miles (~5-min drive) <br />• Smorgasburg (seasonal) – Approx. 1.5 miles (~6-min drive) <br />• Lilia – Approx. 1.4 miles (~6-min drive) <br />• C,https://a0.muscache.com/pictures/prohost-api/Hosting-1319022934984304366/original/c08adce3-e52c-45ea-a8b4-69e24ade8b64.png,668558711,https://www.airbnb.com/users/show/668558711,Erwin,2024-12-24,,,,,,f,https://a0.muscache.com/im/pictures/user/User/original/654fe79e-8637-423a-a3db-46995e87baab.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/654fe79e-8637-423a-a3db-46995e87baab.jpeg?aki_policy=profile_x_medium,Williamsburg,3.0,3.0,"['email', 'phone']",t,t,Neighborhood highlights,Bedford-Stuyvesant,Brooklyn,40.69835026311321,-73.96005407437727,Room in hotel,Private room,2,,1 private bath,1.0,,"[""Dedicated workspace"", ""Private living room"", ""Essentials"", ""Private entrance"", ""Breakfast"", ""Dishes and silverware"", ""TV"", ""Dryer"", ""Washer"", ""Kitchen"", ""Hangers"", ""Refrigerator"", ""Fire extinguisher"", ""Microwave"", ""Bed linens"", ""Smoke alarm"", ""Elevator"", ""Body soap"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Carbon monoxide alarm"", ""Freezer"", ""Heating"", ""Air conditioning"", ""Coffee maker"", ""Safe"", ""Paid parking off premises"", ""Long term stays allowed"", ""Ceiling fan"", ""Shampoo"", ""Host greets you""]",,1,365,1,1,365,365,1.0,365.0,,t,0,0,0,13,2025-06-17,0,0,0,13,0,0,,,,,,,,,,,Exempt,t,3,0,3,0,
